xuhao,yield
SWW14111DH29,6.73
SWW14111DH3,1.08
SWW14111DH30,5.38
SWW14111DH31,6.86
SWW14111DH32,6.32
SWW14111DH35,6.46
SWW14111DH36,5.92
SWW14111DH37,6.73
SWW14111DH38,3.83
SWW14111DH39,5.38
SWW14111DH4,1.48
SWW14111DH41,4.17
SWW14111DH42,6.32
SWW14111DH43,6.32
SWW14111DH44,6.05
SWW14111DH45,5.31
SWW14111DH47,6.19
SWW14111DH48,5.31
SWW14111DH49,5.31
SWW14111DH5,0.67
SWW14111DH50,5.25
SWW14111DH53,5.38
SWW14111DH54,4.51
SWW14111DH55,3.70
SWW14111DH56,4.10
SWW14111DH57,3.56
SWW14111DH58,5.85
SWW14111DH6,1.35
SWW14112DH1,4.98
SWW14112DH10,1.48
SWW14112DH12,1.41
SWW14112DH14,3.30
SWW14112DH15,3.30
SWW14112DH16,3.23
SWW14112DH17,0.61
SWW14112DH18,1.82
SWW14112DH2,5.18
SWW14112DH20,2.89
SWW14112DH21,3.09
SWW14112DH22,3.30
SWW14112DH24,3.83
SWW14112DH25,4.17
SWW14112DH27,1.55
SWW14112DH28,3.50
SWW14112DH29,0.40
SWW14112DH3,4.84
SWW14112DH30,3.77
SWW14112DH31,2.02
SWW14112DH32,3.63
SWW14112DH33,3.56
SWW14112DH36,4.84
SWW14112DH37,4.77
SWW14112DH38,4.91
SWW14112DH39,4.37
SWW14112DH4,3.16
SWW14112DH42,3.97
SWW14112DH43,5.11
SWW14112DH44,5.38
SWW14112DH48,6.59
SWW14112DH49,6.12
SWW14112DH5,4.77
SWW14112DH51,4.44
SWW14112DH52,4.37
SWW14112DH53,5.92
SWW14112DH54,5.65
SWW14112DH56,3.90
SWW14112DH57,3.97
SWW14112DH58,6.19
SWW14112DH59,6.46
SWW14112DH60,5.92
SWW14112DH61,7.13
SWW14112DH62,5.85
SWW14112DH63,3.83
SWW14112DH65,5.72
SWW14112DH66,5.72
SWW14112DH67,5.04
SWW14112DH68,5.51
SWW14112DH69,5.45
SWW14112DH70,5.18
SWW14112DH71,4.17
SWW14112DH72,5.31
SWW14112DH73,5.18
SWW14112DH75,0.81
SWW14112DH76,2.69
SWW14112DH77,2.49
SWW14112DH9,3.56
SWW14132DH1,2.56
SWW14132DH11,2.62
SWW14132DH12,4.17
SWW14132DH13,1.55
SWW14132DH14,3.77
SWW14132DH15,3.36
SWW14132DH16,2.82
SWW14132DH17,2.22
SWW14132DH18,3.23
SWW14132DH19,3.90
SWW14132DH2,3.23
SWW14132DH20,3.09
SWW14132DH24,5.18
SWW14132DH25,3.83
SWW14132DH26,4.77
SWW14132DH28,4.10
SWW14132DH29,4.44
SWW14132DH3,3.77
SWW14132DH30,4.57
SWW14132DH31,5.11
SWW14132DH32,4.84
SWW14132DH35,5.45
SWW14132DH36,5.25
SWW14132DH37,5.45
SWW14132DH38,4.24
SWW14132DH4,0.40
SWW14132DH40,4.84
SWW14132DH41,4.04
SWW14132DH42,4.10
SWW14132DH44,2.96
SWW14132DH46,1.88
SWW14132DH47,3.23
SWW14132DH48,2.08
SWW14132DH6,3.97
SWW14132DH7,3.77
SWW14132DH8,5.25
SWW14132DH9,3.97
SWW14133DH1,5.58
SWW14133DH2,4.17
SWW14133DH3,5.31
SWW14133DH4,4.98
SWW14133DH5,4.37
SWW14133DH6,3.83
SWW14133DH7,5.78
SWW14133DH8,3.16
SWW14137DH1,3.03
SWW14137DH2,3.16
SWW14137DH3,2.56
SWW14138DH10,1.75
SWW14138DH100,5.51
SWW14138DH101,5.31
SWW14138DH102,6.59
SWW14138DH105,5.92
SWW14138DH11,2.15
SWW14138DH12,5.38
SWW14138DH13,4.30
SWW14138DH15,2.15
SWW14138DH16,2.62
SWW14138DH17,3.70
SWW14138DH18,1.95
SWW14138DH19,2.89
SWW14138DH20,3.43
SWW14138DH21,4.37
SWW14138DH22,4.51
SWW14138DH23,6.32
SWW14138DH24,7.73
SWW14138DH25,5.18
SWW14138DH27,4.51
SWW14138DH28,5.72
SWW14138DH3,1.88
SWW14138DH31,6.39
SWW14138DH32,6.46
SWW14138DH33,5.45
SWW14138DH35,5.31
SWW14138DH36,7.06
SWW14138DH37,4.84
SWW14138DH38,4.84
SWW14138DH4,2.69
SWW14138DH40,4.04
SWW14138DH41,4.51
SWW14138DH42,6.39
SWW14138DH43,2.96
SWW14138DH44,4.04
SWW14138DH45,4.91
SWW14138DH46,5.51
SWW14138DH48,5.18
SWW14138DH49,6.12
SWW14138DH5,2.56
SWW14138DH50,6.59
SWW14138DH54,4.51
SWW14138DH55,5.99
SWW14138DH56,4.24
SWW14138DH59,3.97
SWW14138DH6,3.03
SWW14138DH61,5.11
SWW14138DH62,4.37
SWW14138DH63,2.76
SWW14138DH64,4.84
SWW14138DH66,1.55
SWW14138DH67,3.36
SWW14138DH68,3.56
SWW14138DH69,5.25
SWW14138DH7,3.36
SWW14138DH70,3.63
SWW14138DH71,4.37
SWW14138DH72,4.04
SWW14138DH75,4.98
SWW14138DH76,4.77
SWW14138DH78,4.24
SWW14138DH79,5.11
SWW14138DH8,2.56
SWW14138DH80,5.31
SWW14138DH81,6.86
SWW14138DH82,6.73
SWW14138DH84,6.05
SWW14138DH85,5.78
SWW14138DH86,5.99
SWW14138DH87,4.71
SWW14138DH88,5.65
SWW14138DH89,3.97
SWW14138DH9,3.43
SWW14138DH92,3.97
SWW14138DH93,4.51
SWW14138DH94,4.71
SWW14138DH96,5.51
SWW14138DH98,3.70
SWW14138DH99,6.19
SWW14144DH1,5.31
SWW14144DH10,5.78
SWW14144DH11,4.71
SWW14144DH13,4.91
SWW14144DH14,4.30
SWW14144DH15,4.64
SWW14144DH16,4.98
SWW14144DH17,5.45
SWW14144DH18,3.97
SWW14144DH19,5.65
SWW14144DH20,4.57
SWW14144DH21,5.51
SWW14144DH22,5.11
SWW14144DH24,4.30
SWW14144DH25,4.77
SWW14144DH26,4.77
SWW14144DH27,4.71
SWW14144DH28,4.98
SWW14144DH29,4.77
SWW14144DH3,4.77
SWW14144DH30,4.51
SWW14144DH31,5.25
SWW14144DH34,3.77
SWW14144DH35,4.84
SWW14144DH37,3.77
SWW14144DH38,3.63
SWW14144DH39,4.84
SWW14144DH4,4.30
SWW14144DH40,4.98
SWW14144DH41,4.91
SWW14144DH42,5.72
SWW14144DH43,5.45
SWW14144DH44,4.77
SWW14144DH47,5.92
SWW14144DH49,5.45
SWW14144DH50,6.12
SWW14144DH52,5.11
SWW14144DH53,6.79
SWW14144DH54,6.12
SWW14144DH55,6.79
SWW14144DH56,6.59
SWW14144DH57,5.92
SWW14144DH59,5.38
SWW14144DH60,4.44
SWW14144DH61,4.24
SWW14144DH62,4.98
SWW14144DH63,5.58
SWW14144DH64,6.05
SWW14144DH65,7.20
SWW14144DH7,4.24
SWW14144DH8,5.38
SWW14144DH9,4.30
MAS110422001U,7.34
MAS110422002U,6.30
MAS110422003U,7.19
MAS110422004U,7.26
MAS110432001U,7.12
MAS110432002,7.41
MAS110432003UT,7.04
MAS110432004T,6.52
MAS110432005,7.26
MAS110432006U,7.26
MAS1104420010T,7.78
MAS110442001T,7.86
MAS110442002,8.60
MAS110442003,8.82
MAS110442004,8.90
MAS110442005,8.01
MAS110442006T,7.56
MAS110442007T,7.86
MAS110442008T,7.12
MAS110442009,8.52
MAS110452001,7.34
MAS110452002U,7.34
MAS110462001,7.93
MAS110472001T,5.86
MAS110482001U,7.04
MAS110482002U,6.82
MAS110482003U,6.67
MAS110502001U,7.26
MAS110502002T,3.85
MAS110742001,7.56
MAS110772001T,9.04
MAS110822001,7.86
MAS110822002T,8.52
MAS110822003T,7.78
MAS110822004,8.75
MAS111212001,7.78
MAS111212002,7.93
MAS111252001U,9.19
MAS111252002,8.67
MAS111252003,8.97
MAS111262001U,8.90
MAS111272001,7.78
MAS111272002,7.04
MAS111272003,9.56
MAS111272004U,9.41
MAS111272005U,8.30
MAS111272006U,9.27
MAS111292001,10.01
MAS111292002,8.38
MAS111292003,6.97
MAS111292004,8.45
MAS111292005,8.08
MAS111292006,9.41
MAS111302001,9.27
MAS111342001,7.78
MAS111342002,9.12
MAS111352001,9.19
MAS111352002,4.89
MAS111362001UT,7.12
MAS111362002T,9.19
MAS111362003UT,8.01
MAS111362004U,8.60
MAS111362005,8.82
MAS111412001T,10.16
MAS111422001U,9.04
MAS111422002U,9.56
MAS111422003,9.79
MAS111422004U,8.30
MAS111442001UT,8.97
MAS111442002UT,8.01
MAS111462001U,9.71
MAS111462002U,9.04
MAS111462003U,9.19
MAS111502001U,8.15
MAS111652001,8.90
MAS111682001,7.86
MAS111692001,8.01
MAS111692002,7.71
SWW11002B001,7.78
SWW11014B001,9.64
SWW11015B001,9.27
SWW11016B001,9.64
SWW11016B002,10.16
SWW11017B001,10.53
SWW11017B002,10.45
SWW11018B001,10.01
SWW11018B002,11.27
SWW11018B003,9.79
SWW11018B004,10.08
SWW11020B001,10.53
SWW11020B002,9.93
SWW11020B003,9.86
SWW11020B004,9.27
SWW11021B001,8.67
SWW11025B001,6.45
SWW11025B002,10.16
SWW11025B003,10.97
SWW11025B004,7.86
SWW11026B001,8.01
SWW11026B002,8.01
